"","eventDate","kingdom","phylum","class","order","family","genus","species","month","day","year"
"474","2011-12-17T13:00:00Z","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porphyrio","Porphyrio porphyrio",12,18,2011
"1671","2014-07-05T14:00:00Z","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Aviceda","Aviceda subcristata",7,6,2014
"1723","2016-07-24T14:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius bicinctus",7,25,2016
"1753","2010-10-26T13:00:00Z","Animalia","Chordata","Aves","Passeriformes","Artamidae","Gymnorhina","Gymnorhina tibicen",10,27,2010
"1780","2017-07-24T14:00:00Z","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","Butorides striatus",7,25,2017
"1788","2012-10-16T13:00:00Z","Animalia","Chordata","Aves","Pelecaniformes","Anhingidae","Anhinga","Anhinga novaehollandiae",10,17,2012
"1797","2010-04-11T14:00:00Z","Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla reinhardtii",4,12,2010
"1800","2014-07-05T14:00:00Z","Animalia","Chordata","Aves","Passeriformes","Artamidae","Cracticus","Cracticus torquatus",7,6,2014
"1808","2014-07-05T14:00:00Z","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus orru",7,6,2014
"1827","2014-07-05T14:00:00Z","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Entomyzon","Entomyzon cyanotis",7,6,2014
"1915","2011-07-14T14:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus alecto",7,15,2011
"1916","2014-10-23T13:00:00Z","Animalia","Chordata","Aves","Passeriformes","Maluridae","Malurus","Malurus lamberti",10,24,2014
"1919","2013-07-25T14:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Laridae","Gelochelidon","Gelochelidon nilotica",7,26,2013
"1959","2010-04-11T14:00:00Z","Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla reinhardtii",4,12,2010
"1962","2010-04-18T14:00:00Z","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki",4,19,2010
"2069","2015-01-12T13:00:00Z","Animalia","Chordata","Aves","Ciconiiformes","Threskiornithidae","Platalea","Platalea regia",1,13,2015
"2071","2015-01-03T13:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo",1,4,2015
"2114","2010-04-15T14:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus alecto",4,16,2010
"2170","2013-10-17T13:00:00Z","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki",10,18,2013
"2288","2016-01-15T13:00:00Z","Animalia","Chordata","Amphibia","Anura","Hylidae","Litoria","Litoria tyleri",1,16,2016
"2302","2015-10-30T13:00:00Z","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Lichmera","Lichmera indistincta",10,31,2015
"2320","2010-10-14T13:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus poliocephalus",10,15,2010
"2330","2014-07-05T14:00:00Z","Plantae","Charophyta","Equisetopsida","Fagales","Casuarinaceae","Casuarina","Casuarina glauca",7,6,2014
"435","2010-12-29T13:00:00Z","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Todiramphus","Todiramphus sanctus",12,30,2010
"437","2010-03-05T13:00:00Z","Animalia","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax varius",3,6,2010
"1523","2016-01-21T13:00:00Z","Animalia","Chordata","Aves","Passeriformes","Oriolidae","Sphecotheres","Sphecotheres vieilloti",1,22,2016
"1531","2016-01-21T13:00:00Z","Animalia","Chordata","Aves","Columbiformes","Columbidae","Ptilinopus","Ptilinopus regina",1,22,2016
"493","2015-06-09T14:00:00Z","Animalia","Chordata","Aves","Gruiformes","Rallidae","Lewinia","Lewinia pectoralis",6,10,2015
"2507","2013-10-12T13:00:00Z","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas castanea",10,13,2013
"2517","2010-10-12T13:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus alecto",10,13,2010
