"","Year","Month","Day","kingdom","phylum","class","order","family","genus","species","eventDate"
"1023",2021,2,13,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","sp.","sp.5_Tortricidae",1613138400
"722",2021,2,14,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Schistophleps","albida",1613224800
"834",2021,2,14,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","eriosoma",1613224800
"1014",2021,2,14,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Epiblema","strenuana",1613224800
"1086",2021,2,14,"Animalia","Arthropoda","Insecta","Trichoptera","Hydropsychidae","sp.","sp.1_Hydropsychidae",1613224800
"243",2021,2,15,"Animalia","Arthropoda","Insecta","Coleoptera","Erotylidae","Episcaphula","sp.1_Episcaphula",1613311200
"555",2021,2,15,"Animalia","Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Lissopimpla","excelsa",1613311200
"597",2021,2,15,"Animalia","Arthropoda","Insecta","Lepidoptera","Cosmopterigidae","Labdia","chryselectra",1613311200
"615",2021,2,15,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Cnaphalocrocis","poeyalis",1613311200
"1021",2021,2,15,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","sp.","sp.3_Tortricidae",1613311200
"596",2021,2,16,"Animalia","Arthropoda","Insecta","Lepidoptera","Cosmopterigidae","Either","Pyroderces",1613397600
"789",2021,2,16,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Traminda","aventiaria",1613397600
"988",2021,2,16,"Animalia","Arthropoda","Insecta","Lepidoptera","Stathmopodidae","Stathmopoda","tritophaea",1613397600
"1000",2021,2,16,"Animalia","Arthropoda","Insecta","Lepidoptera","Tineidae","sp.","sp.1_Tineidae",1613397600
"654",2021,2,17,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Tetracona","amathealis",1613484000
"882",2021,2,18,"Animalia","Arthropoda","Insecta","Lepidoptera","Nolidae","Nola","tornotis",1613570400
"430",2021,2,20,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Deltocephalinae","sp.1_Deltocephalinae",1613743200
"432",2021,2,21,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Empoascini","sp.1_Empoascini",1613829600
"503",2021,2,22,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Braconid","sp.1_Braconid",1613916000
"725",2021,2,22,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","sp.","sp.1_Erebidae",1613916000
"916",2021,2,22,"Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","sp.","sp.1_Oecophoridae",1613916000
"668",2021,2,23,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Buzara","latizona",1614002400
"706",2021,2,23,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Nyctemera","amicus",1614002400
"941",2021,2,23,"Animalia","Arthropoda","Insecta","Lepidoptera","Pterophoridae","Stenoptilia","zophodactylus",1614002400
"657",2021,2,25,"Animalia","Arthropoda","Insecta","Lepidoptera","Depressariidae","Eutorna","tricasis",1614175200
"871",2021,2,25,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Xanthodes","transversa",1614175200
"240",2021,2,28,"Animalia","Arthropoda","Insecta","Coleoptera","Elateridae","sp.","sp.2_Elateridae",1614434400
"321",2021,2,28,"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae","sp.1_Tanypodinae",1614434400
"550",2021,2,28,"Animalia","Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Ichneumonid","sp.1_Ichneumonid",1614434400
"551",2021,2,28,"Animalia","Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Ichneumonid","sp.2_Ichneumonid",1614434400
"552",2021,2,28,"Animalia","Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Ichneumonid","sp.3_Ichneumonid",1614434400
"1020",2021,2,28,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","sp.","sp.2_Tortricidae",1614434400
"588",2021,3,2,"Animalia","Arthropoda","Arthropoda","Lepidoptera","Arctiidae","Eressa","angustipenna",1614607200
"879",2021,3,5,"Animalia","Arthropoda","Insecta","Lepidoptera","Nolidae","Nola","argentea",1614866400
"884",2021,3,5,"Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Ecnomodes","sagittaria",1614866400
"766",2021,3,6,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Eupethiciinae","sp.1_Eupethiciinae",1614952800
"888",2021,3,7,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Delias","nigrina",1615039200
"1172",2021,3,7,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus","aggregatus",1615039200
"230",2021,3,9,"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Haplonyx","sp.1_Haplonyx",1615212000
"393",2021,3,9,"Animalia","Arthropoda","Insecta","Diptera","Stratiomyidae","Microchrysa","sp.1_Microchrysa",1615212000
"415",2021,3,9,"Animalia","Arthropoda","Insecta","Hemiptera","Aleyrodidae","Aleyrodes","proletella",1615212000
"450",2021,3,9,"Animalia","Arthropoda","Insecta","Hemiptera","Flatidae","Anzora","sp.2_Anzora",1615212000
"464",2021,3,9,"Animalia","Arthropoda","Insecta","Hemiptera","Meenoplidae","Nisia","australiensis",1615212000
"681",2021,3,9,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Eublemma","perversicolor",1615212000
"731",2021,3,9,"Animalia","Arthropoda","Insecta","Lepidoptera","Eupterotidae","Panacela","nyctopa",1615212000
"819",2021,3,9,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Aedia","acronyctoides",1615212000
"856",2021,3,9,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","sp.","sp.1_Noctuidae",1615212000
"906",2021,3,9,"Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Eulechria","hilda",1615212000
"983",2021,3,9,"Animalia","Arthropoda","Insecta","Lepidoptera","Stathmopodidae","Calicotis","crucifera",1615212000
"216",2021,3,10,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","subfam.","Eumolpinae",1615298400
"445",2021,3,10,"Animalia","Arthropoda","Insecta","Hemiptera","Delphacidae","Cemus","kirkaldyi",1615298400
"739",2021,3,10,"Animalia","Arthropoda","Insecta","Lepidoptera","Gelechiidae","Idiophantis","habrias",1615298400
"1019",2021,3,10,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","sp.","sp.1_Tortricidae",1615298400
"1102",2021,3,10,"Animalia","Mollusca","Gastropoda","Gastropoda","Helicarionidae","Stanisicarion","freycineti",1615298400
"290",2021,3,11,"Animalia","Arthropoda","Insecta","Dermaptera","Anisolabididae","sp.","sp.1_Anisolabididae",1615384800
"946",2021,3,13,"Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Assara","subarcuella",1615557600
"1067",2021,3,13,"Animalia","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Ephippitytha","trigintiduoguttata",1615557600
"839",2021,3,14,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Ctenoplusia","albostriata",1615644000
"273",2021,3,15,"Animalia","Arthropoda","Insecta","Coleoptera","Scirtidae","Scirtes","sp.1_Scirtes",1615730400
"346",2021,3,15,"Animalia","Arthropoda","Insecta","Diptera","Drosophilidae","Phorticella","sp.1_Phorticella",1615730400
"917",2021,3,15,"Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","sp.","sp.2_Oecophoridae",1615730400
"945",2021,3,15,"Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Assara","seminivale",1615730400
"378",2021,3,18,"Animalia","Arthropoda","Insecta","Diptera","Platystomatidae","Rivellia","sp.1_Rivellia",1615989600
"849",2021,3,18,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Meyrickella","torquesauria",1615989600
"918",2021,3,19,"Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","sp.","sp.3_Oecophoridae",1616076000
"973",2021,3,19,"Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Tylochares","cosmiella",1616076000
"150",2021,3,20,"Animalia","Arthropoda","Diplopoda","Polydesmida","Paradoxosomatidae","Heterocladosoma","sp.1_Heterocladosoma",1616162400
"662",2021,3,20,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Adrapsa","ablualis",1616162400
"1083",2021,3,20,"Animalia","Arthropoda","Insecta","Psocodea","Trogiidae","cf.","Trogium",1616162400
"1101",2021,3,20,"Animalia","Mollusca","Mollusca","Stylommatophora","Bradybaenidae","Bradybaena","similaris",1616162400
"331",2021,3,21,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culex","annulirostris",1616248800
"196",2021,3,22,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus",1616335200
"802",2021,3,22,"Animalia","Arthropoda","Insecta","Lepidoptera","Lecithoceridae","Lecithocera","cyamitis",1616335200
"211",2021,3,23,"Animalia","Arthropoda","Arthropoda","Coleoptera","Chrysomelidae","Aporocera","iridipennis",1616421600
"70",2021,3,24,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Cordyceps","sp.1_Cordyceps",1616508000
"128",2021,3,24,"Animalia","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","sect.",1616508000
"129",2021,3,24,"Fungi","Basidiomycota","Basidiomycota","Agaricales","Agaricaceae","Chlorophyllum","molybdites",1616508000
"130",2021,3,24,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lepiota","sp.1_Lepiota",1616508000
"131",2021,3,24,"Animalia","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lycoperdon","pratense",1616508000
"132",2021,3,24,"Animalia","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","cf.","Entoloma",1616508000
"133",2021,3,24,"Animalia","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius","vagus",1616508000
"134",2021,3,24,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","sp.","sp.1_Mycenaceae",1616508000
"136",2021,3,24,"Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Lentinus","arcularius",1616508000
"137",2021,3,24,"Fungi","Basidiomycota","Agaricomycetes","Polyporales","sp.","sp.","sp.1_Polyporales",1616508000
"138",2021,3,24,"Fungi","Basidiomycota","Agaricomycetes","Polyporales","sp.","sp.","sp.2_Polyporales",1616508000
"328",2021,3,24,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","alternans",1616508000
"745",2021,3,24,"Animalia","Arthropoda","Insecta","Lepidoptera","Gelechioidea","sp.1_Gelechioidea","sp.2_Gelechioidea",1616508000
"474",2021,3,25,"Animalia","Arthropoda","Insecta","Hemiptera","Pentatomidae","Menida","spectabilis",1616594400
"458",2021,3,26,"Animalia","Arthropoda","Insecta","Hemiptera","Heterogastridae","Parathyginus","sp.1_Parathyginus",1616680800
"309",2021,3,27,"Animalia","Arthropoda","Insecta","Diptera","Cecidomyiidae","sp.","sp.6_Cecidomyiidae",1616767200
"184",2021,3,28,"Animalia","Arthropoda","Insecta","Blattodea","Kalotermitidae","sp.","sp.1_Kalotermitidae",1616853600
"1005",2021,3,28,"Animalia","Arthropoda","Insecta","Lepidoptera","Tineoidea","indet.","sp.1_Tineoidea",1616853600
"203",2021,3,29,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Coptocercus","biguttatus",1616940000
"1050",2021,3,29,"Animalia","Arthropoda","Arthropoda","Neuroptera","Mantispidae","Ditaxis","biseriata",1616940000
"32",2021,3,31,"Animalia","Arthropoda","Arachnida","Araneae","Lycosidae","Venatrix","sp.1_Venatrix",1617112800
"66",2021,3,31,"Animalia","Arthropoda","Arachnida","Pseudoscorpiones","Chthoniidae","sp.","sp.1_Chthoniidae",1617112800
"147",2021,3,31,"Animalia","Arthropoda","Malacostraca","Isopoda","Philosciidae","Philoscia","sp.1_Philoscia",1617112800
"151",2021,3,31,"Animalia","Arthropoda","Diplopoda","Polydesmida","Paradoxosomatidae","Notodesmus","sp.1_Notodesmus",1617112800
"1220",2021,3,31,"Animalia","Onychophora","Onychophorae","Euonychophora","Peripatopsidae","sp.","sp.1_Peripatopsidae",1617112800
"1219",2021,4,1,"Animalia","Chordata","Chordata","Squamata","Typhlopidae","Indotyphlops","braminus",1617199200
"327",2021,4,3,"Animalia","Arthropoda","Arthropoda","Diptera","Culicidae","Aedes","vittiger",1617372000
"841",2021,4,5,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Elusa","cf.",1617544800
"747",2021,4,11,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Casbia","pallens",1618063200
"771",2021,4,12,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Hypodoxa","bryophylla",1618149600
"329",2021,4,14,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","annulipes",1618322400
"655",2021,4,14,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Trichophysetis","sp.1_Trichophysetis",1618322400
"990",2021,4,16,"Animalia","Arthropoda","Insecta","Lepidoptera","Tineidae","Edosa","xystidophora",1618495200
"904",2021,4,18,"Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Eulechria","cf.",1618668000
"816",2021,4,19,"Animalia","Arthropoda","Insecta","Lepidoptera","Lyonetiidae","Leucoptera","sp.1_Leucoptera",1618754400
"260",2021,4,21,"Animalia","Arthropoda","Arthropoda","Coleoptera","Scarabaeidae","Heteronychus","arator",1618927200
"302",2021,4,21,"Animalia","Arthropoda","Arthropoda","Diptera","Calliphoridae","Lucilia","cuprina",1618927200
"967",2021,4,21,"Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","sp.","sp.2_Pyralidae",1618927200
"484",2021,4,22,"Animalia","Arthropoda","Insecta","Hemiptera","Reduviidae","Emesinae","sp.2_Emesinae",1619013600
"599",2021,4,22,"Animalia","Arthropoda","Insecta","Lepidoptera","Cosmopterigidae","Macrobathra","sp.1_Macrobathra",1619013600
"108",2021,4,23,"Animalia","Chordata","Chordata","Passeriformes","Monarchidae","Monarcha","melanopsis",1619100000
"312",2021,4,23,"Animalia","Arthropoda","Insecta","Diptera","Ceratopogonidae","Culicoides","sp.2_Culicoides",1619100000
"215",2021,4,25,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Plectonycha","correntina",1619272800
"1129",2021,4,27,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Drymaria","cordata",1619445600
"392",2021,5,1,"Animalia","Arthropoda","Insecta","Diptera","Stratiomyidae","Inopus","cf.",1619791200
"480",2021,5,1,"Animalia","Arthropoda","Insecta","Hemiptera","Pentatomidae","sp.","sp.1_Pentatomidae",1619791200
"197",2021,5,2,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Stenolophus","sp.1_Stenolophus",1619877600
"795",2021,5,2,"Animalia","Arthropoda","Insecta","Lepidoptera","Gracillariidae","Macarostola","polyplaca",1619877600
"299",2021,5,9,"Animalia","Arthropoda","Insecta","Diptera","Calliphoridae","Calliphora","sp.1_Calliphora",1620482400
"825",2021,5,11,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Anadevidia","peponis",1620655200
"408",2021,5,12,"Animalia","Arthropoda","Insecta","Diptera","Tachinidae","Rutilia","sp.1_Rutilia",1620741600
"412",2021,5,15,"Animalia","Arthropoda","Insecta","Diptera","Tipulidae","sp.","sp.1_Tipulidae",1621000800
"1068",2021,5,19,"Animalia","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Torbia","viridissima",1621346400
"770",2021,5,20,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Gymnoscelis","spodias",1621432800
"1007",2021,5,23,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Acroceuthes","metaxanthana",1621692000
"1211",2021,5,28,"Animalia","Chordata","Reptilia","Squamata","Elapidae","Cacophis","harriettae",1622124000
"1205",2021,5,29,"Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Solanum","seaforthianum",1622210400
"569",2021,6,15,"Animalia","Arthropoda","Arthropoda","Hymenoptera","Pergidae","Pterygophorus","cinctus",1623679200
"24",2021,7,1,"Animalia","Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","subrufa",1625061600
"1089",2021,7,14,"Animalia","Arthropoda","Insecta","Zygentoma","Lepismatidae","Acrotelsella","devriesiana",1626184800
"1078",2021,7,15,"Animalia","Arthropoda","Insecta","Psocodea","Liposcelididae","sp.","sp.1_Liposcelididae",1626271200
"135",2021,7,16,"Animalia","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Phlebiopsis","crassa",1626357600
"374",2021,7,18,"Animalia","Arthropoda","Insecta","Diptera","Muscoidea","sp.","sp.1_Muscoidea",1626530400
"3",2021,7,19,"Animalia","Annelida","Annelida","Oligochaeta","Lumbricidae","Lumbricus","terrestris",1626616800
"175",2021,7,19,"Animalia","Arthropoda","Arthropoda","Blattodea","Blaberidae","Nauphoeta","cinerea",1626616800
"186",2021,7,19,"Animalia","Arthropoda","Insecta","Blattodea","Rhinotermitidae","Coptotermes","sp.1_Coptotermes",1626616800
