"","eventDate","kingdom","phylum","class","order","family","genus","species","month","day","year"
"540","2014-09-29T14:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Vespadelus","Vespadelus darlingtoni",9,30,2014
"1014","2015-06-09T14:00:00Z","Animalia","Chordata","Aves","Gruiformes","Rallidae","Lewinia","Lewinia pectoralis",6,10,2015
"1963","2012-07-18T14:00:00Z","Animalia","Chordata","Aves","Ciconiiformes","Threskiornithidae","Platalea","Platalea regia",7,19,2012
"2144","2015-04-16T14:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris ruficollis",4,17,2015
"2152","2012-10-16T13:00:00Z","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Haliastur","Haliastur indus",10,17,2012
"2533","2013-10-27T13:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","Hypseleotris","Hypseleotris galii",10,28,2013
"2845","2011-10-19T13:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris ruficollis",10,20,2011
"3743","2015-11-03T13:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris ruficollis",11,4,2015
"3929","2010-11-18T13:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus alecto",11,19,2010
"4413","2017-03-31T13:00:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","Phascolarctos cinereus",4,1,2017
"5182","2020-09-27T01:22:00Z","Plantae","Charophyta","Equisetopsida","Malvales","Malvaceae","Brachychiton","Brachychiton populneus",9,27,2020
"6781","2020-09-01T01:43:00Z","Animalia","Arthropoda","Arachnida","Araneae","Araneidae","Argiope","Argiope keyserlingi",9,1,2020
"6963","2021-03-13T01:21:00Z","Animalia","Chordata","Reptilia","Squamata","Agamidae","Intellagama","Intellagama lesueurii",3,13,2021
"7120","2021-03-18T01:36:00Z","Animalia","Chordata","Reptilia","Squamata","Agamidae","Intellagama","Intellagama lesueurii",3,18,2021
"8906","2020-06-28T14:00:00Z","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter","Accipiter novaehollandiae",6,29,2020
"18388","2021-01-13T06:21:00Z","Animalia","Chordata","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola exilis",1,13,2021
"18513","2020-07-10T05:25:00Z","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Rhipidura leucophrys",7,10,2020
"18619","2020-07-22T02:09:00Z","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Rhipidura leucophrys",7,22,2020
"18836","2019-10-13T13:28:00Z","Animalia","Chordata","Aves","Passeriformes","Oriolidae","Sphecotheres","Sphecotheres vieilloti",10,13,2019
"18861","2017-09-27T14:00:00Z","Animalia","Arthropoda","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda jugulans",9,28,2017
"18874","2019-10-10T04:22:00Z","Animalia","Chordata","Aves","Coraciiformes","Halcyonidae","","",10,10,2019
"18937","2021-04-07T09:57:00Z","Plantae","Charophyta","Equisetopsida","Celastrales","Celastraceae","Denhamia","Denhamia disperma",4,7,2021
"19048","2021-01-11T08:30:00Z","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo neoxena",1,11,2021
"19158","2019-06-12T06:48:00Z","Animalia","Arthropoda","Insecta","Diptera","Stratiomyidae","","",6,12,2019
"19201","2017-01-20T02:08:00Z","Animalia","Arthropoda","Insecta","Odonata","Lindeniidae","Ictinogomphus","Ictinogomphus australis",1,20,2017
"19263","2020-04-06T22:41:00Z","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Crocothemis","Crocothemis nigrifrons",4,7,2020
"19542","2020-09-17T10:25:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Petauridae","Petaurus","Petaurus norfolcensis",9,17,2020
"19557","2020-03-12T22:47:00Z","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Ischnura","Ischnura heterosticta",3,13,2020
"19558","2020-09-29T10:00:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","Phascolarctos cinereus",9,29,2020
"19559","2019-04-17T02:10:00Z","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","","",4,17,2019
"19565","2021-04-14T00:38:00Z","Animalia","Chordata","Aves","Passeriformes","Monarchidae","Grallina","Grallina cyanoleuca",4,14,2021
"19582","2019-06-13T07:15:00Z","Animalia","Chordata","Aves","Passeriformes","Artamidae","Strepera","Strepera graculina",6,13,2019
"19644","2021-03-23T08:49:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Phalangeridae","Trichosurus","Trichosurus vulpecula",3,23,2021
"19696","2018-03-31T13:00:00Z","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio aegeus",4,1,2018
"19752","2017-01-23T02:34:00Z","Animalia","Arthropoda","Insecta","Odonata","Lindeniidae","Ictinogomphus","Ictinogomphus australis",1,23,2017
"20309","2020-12-29T07:32:00Z","Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla reinhardtii",12,29,2020
"509","2010-03-01T13:00:00Z","Animalia","Chordata","Amphibia","Anura","Myobatrachidae","Pseudophryne","Pseudophryne raveni",3,2,2010
"529","2010-09-16T14:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus poliocephalus",9,17,2010
"737","2011-09-15T14:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus poliocephalus",9,16,2011
"762","2010-06-11T14:00:00Z","Animalia","Chordata","Aves","Passeriformes","Artamidae","Cracticus","Cracticus torquatus",6,12,2010
"820","2010-03-18T13:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus alecto",3,19,2010
"886","2015-12-28T13:00:00Z","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus orru",12,29,2015
"909","2010-06-11T14:00:00Z","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Trichoglossus","Trichoglossus chlorolepidotus",6,12,2010
"963","2011-07-23T14:00:00Z","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Haliastur","Haliastur indus",7,24,2011
"1042","2015-04-06T14:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris ruficollis",4,7,2015
"1386","2012-04-22T14:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus",4,23,2012
"1565","2012-04-22T14:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus",4,23,2012
"1710","2010-10-29T13:00:00Z","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus orru",10,30,2010
"1938","2010-10-03T13:00:00Z","Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla reinhardtii",10,4,2010
"1968","2011-04-14T14:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus alecto",4,15,2011
"1972","2010-10-03T13:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","Hypseleotris","Hypseleotris compressa",10,4,2010
"1974","2010-07-10T14:00:00Z","Animalia","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Microcarbo","Microcarbo melanoleucos",7,11,2010
"1991","2015-01-03T13:00:00Z","Animalia","Chordata","Aves","Pelecaniformes","Anhingidae","Anhinga","Anhinga novaehollandiae",1,4,2015
"2046","2012-10-01T14:00:00Z","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus maculatus",10,2,2012
"2056","2015-04-16T14:00:00Z","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Haliastur","Haliastur sphenurus",4,17,2015
"2120","2015-01-12T13:00:00Z","Animalia","Chordata","Aves","Coraciiformes","Meropidae","Merops","Merops ornatus",1,13,2015
"2230","2013-10-12T13:00:00Z","Animalia","Chordata","Aves","Passeriformes","Campephagidae","Coracina","Coracina novaehollandiae",10,13,2013
"2839","2010-05-12T14:00:00Z","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Melanitis","Melanitis leda",5,13,2010
"3077","2015-01-08T13:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Laridae","Gelochelidon","Gelochelidon nilotica",1,9,2015
"3372","2013-05-16T14:00:00Z","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Rhipidura leucophrys",5,17,2013
"3660","2013-08-06T14:00:00Z","Animalia","Chordata","Aves","Passeriformes","Artamidae","Cracticus","Cracticus nigrogularis",8,7,2013
"3797","2010-05-06T14:00:00Z","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinidae","Craterocephalus","Craterocephalus stercusmuscarum",5,7,2010
"4014","2015-01-31T13:00:00Z","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Todiramphus","Todiramphus sanctus",2,1,2015
